#
# Transition date estimate for lacclair
#
# Site: lacclair
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2014
# Year max: 2024
# Final Processing Date: 2024-07-24
# Final Processing Time: 18:38:18
# Spline RMSE gcc_mean: 0.0033
# Spline RMSE gcc_50: 0.00361
# Spline RMSE gcc_75: 0.00364
# Spline RMSE gcc_90: 0.00384
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
lacclair,DB,1000,rising,gcc_75,2015-05-08,2015-05-13,2015-05-19,2015-05-07,2015-05-12,2015-05-17,2015-05-11,2015-05-15,2015-05-20,0.31866,0.33558,0.37064,0.30999,0.42078
lacclair,DB,1000,rising,gcc_75,2016-05-16,2016-05-18,2016-05-23,2016-05-15,2016-05-17,2016-05-22,2016-05-18,2016-05-20,2016-05-24,0.32174,0.33357,0.37112,0.31283,0.42606
lacclair,DB,1000,rising,gcc_75,2017-05-13,2017-05-17,2017-05-23,2017-05-12,2017-05-16,2017-05-21,2017-05-15,2017-05-19,2017-05-24,0.32059,0.33546,0.36948,0.31127,0.42119
lacclair,DB,1000,rising,gcc_75,2018-05-16,2018-05-19,2018-05-24,2018-05-14,2018-05-18,2018-05-22,2018-05-17,2018-05-21,2018-05-25,0.32389,0.33758,0.37576,0.31279,0.42474
lacclair,DB,1000,rising,gcc_75,2019-05-19,2019-05-24,2019-05-30,2019-05-18,2019-05-23,2019-05-29,2019-05-22,2019-05-25,2019-05-31,0.32126,0.34055,0.37044,0.31221,0.42844
lacclair,DB,1000,rising,gcc_75,2020-05-18,2020-05-21,2020-05-25,2020-05-17,2020-05-20,2020-05-23,2020-05-20,2020-05-22,2020-05-26,0.32307,0.34005,0.37491,0.3134,0.42316
lacclair,DB,1000,rising,gcc_75,2021-05-08,2021-05-12,2021-05-16,2021-05-06,2021-05-11,2021-05-15,2021-05-10,2021-05-13,2021-05-17,0.32505,0.34083,0.37294,0.31404,0.42738
lacclair,DB,1000,rising,gcc_75,2022-05-07,2022-05-11,2022-05-16,2022-05-06,2022-05-10,2022-05-14,2022-05-09,2022-05-12,2022-05-17,0.32336,0.3399,0.37766,0.31282,0.42821
lacclair,DB,1000,rising,gcc_75,2023-05-07,2023-05-11,2023-05-18,2023-05-05,2023-05-10,2023-05-16,2023-05-09,2023-05-13,2023-05-19,0.3238,0.33675,0.37164,0.31329,0.41983
lacclair,DB,1000,rising,gcc_75,2024-05-08,2024-05-11,2024-05-17,2024-05-07,2024-05-10,2024-05-15,2024-05-10,2024-05-13,2024-05-18,0.32264,0.33594,0.37579,0.31401,0.42163
lacclair,DB,1000,rising,gcc_50,2015-05-08,2015-05-13,2015-05-19,2015-05-06,2015-05-12,2015-05-18,2015-05-11,2015-05-15,2015-05-20,0.31712,0.33193,0.36312,0.30813,0.41454
lacclair,DB,1000,rising,gcc_50,2016-05-16,2016-05-19,2016-05-23,2016-05-15,2016-05-18,2016-05-22,2016-05-18,2016-05-20,2016-05-24,0.31952,0.33766,0.36566,0.311,0.41907
lacclair,DB,1000,rising,gcc_50,2017-05-14,2017-05-17,2017-05-23,2017-05-12,2017-05-16,2017-05-21,2017-05-16,2017-05-19,2017-05-24,0.32024,0.33181,0.3644,0.30988,0.41386
lacclair,DB,1000,rising,gcc_50,2018-05-15,2018-05-19,2018-05-24,2018-05-14,2018-05-18,2018-05-22,2018-05-17,2018-05-21,2018-05-25,0.31909,0.3351,0.36836,0.31181,0.41356
lacclair,DB,1000,rising,gcc_50,2019-05-19,2019-05-24,2019-05-31,2019-05-17,2019-05-23,2019-05-30,2019-05-21,2019-05-26,2019-06-01,0.32049,0.33606,0.36453,0.31085,0.41778
lacclair,DB,1000,rising,gcc_50,2020-05-18,2020-05-21,2020-05-25,2020-05-16,2020-05-20,2020-05-23,2020-05-20,2020-05-22,2020-05-26,0.32027,0.33543,0.36727,0.31078,0.4135
lacclair,DB,1000,rising,gcc_50,2021-05-07,2021-05-12,2021-05-17,2021-05-05,2021-05-11,2021-05-15,2021-05-10,2021-05-13,2021-05-18,0.3218,0.33719,0.37155,0.31288,0.41674
lacclair,DB,1000,rising,gcc_50,2022-05-07,2022-05-11,2022-05-16,2022-05-06,2022-05-10,2022-05-15,2022-05-09,2022-05-13,2022-05-17,0.32057,0.33415,0.36718,0.31144,0.42012
lacclair,DB,1000,rising,gcc_50,2023-05-07,2023-05-12,2023-05-18,2023-05-05,2023-05-11,2023-05-16,2023-05-10,2023-05-14,2023-05-19,0.32009,0.33418,0.36537,0.31149,0.41593
lacclair,DB,1000,rising,gcc_50,2024-05-08,2024-05-12,2024-05-17,2024-05-07,2024-05-11,2024-05-16,2024-05-10,2024-05-14,2024-05-18,0.32025,0.33591,0.36879,0.31281,0.41611
lacclair,DB,1000,rising,gcc_mean,2015-05-08,2015-05-13,2015-05-19,2015-05-05,2015-05-12,2015-05-18,2015-05-10,2015-05-15,2015-05-20,0.31752,0.33225,0.36299,0.30792,0.41247
lacclair,DB,1000,rising,gcc_mean,2016-05-16,2016-05-18,2016-05-23,2016-05-15,2016-05-17,2016-05-22,2016-05-18,2016-05-20,2016-05-24,0.31905,0.33013,0.36527,0.31063,0.41709
lacclair,DB,1000,rising,gcc_mean,2017-05-13,2017-05-17,2017-05-23,2017-05-12,2017-05-16,2017-05-21,2017-05-15,2017-05-19,2017-05-24,0.31745,0.33228,0.36524,0.3094,0.41243
lacclair,DB,1000,rising,gcc_mean,2018-05-15,2018-05-19,2018-05-24,2018-05-14,2018-05-18,2018-05-22,2018-05-17,2018-05-21,2018-05-25,0.31905,0.33496,0.36944,0.3115,0.41557
lacclair,DB,1000,rising,gcc_mean,2019-05-19,2019-05-24,2019-05-31,2019-05-18,2019-05-23,2019-05-29,2019-05-21,2019-05-26,2019-06-01,0.31936,0.33562,0.36593,0.31037,0.41792
lacclair,DB,1000,rising,gcc_mean,2020-05-18,2020-05-21,2020-05-25,2020-05-17,2020-05-20,2020-05-24,2020-05-20,2020-05-22,2020-05-26,0.31968,0.33479,0.36683,0.31073,0.41477
lacclair,DB,1000,rising,gcc_mean,2021-05-07,2021-05-12,2021-05-16,2021-05-05,2021-05-11,2021-05-15,2021-05-10,2021-05-13,2021-05-17,0.32198,0.33752,0.36519,0.31242,0.41697
lacclair,DB,1000,rising,gcc_mean,2022-05-07,2022-05-11,2022-05-16,2022-05-06,2022-05-10,2022-05-14,2022-05-09,2022-05-13,2022-05-17,0.32033,0.33388,0.36758,0.31102,0.41681
lacclair,DB,1000,rising,gcc_mean,2023-05-07,2023-05-12,2023-05-18,2023-05-05,2023-05-11,2023-05-16,2023-05-09,2023-05-14,2023-05-19,0.32061,0.33531,0.36485,0.31117,0.41471
lacclair,DB,1000,rising,gcc_mean,2024-05-08,2024-05-12,2024-05-17,2024-05-07,2024-05-11,2024-05-15,2024-05-10,2024-05-13,2024-05-18,0.32051,0.33732,0.36988,0.31236,0.4167
lacclair,DB,1000,falling,gcc_90,2023-10-01,2023-09-27,2023-09-22,2023-10-02,2023-09-28,2023-09-24,2023-09-29,2023-09-26,2023-09-21,0.32599,0.34494,0.37227,0.32116,0.41686
lacclair,DB,1000,falling,gcc_90,2022-09-30,2022-09-26,2022-09-17,2022-10-01,2022-09-27,2022-09-20,2022-09-28,2022-09-25,2022-09-14,0.32919,0.34645,0.37327,0.32061,0.42458
lacclair,DB,1000,falling,gcc_90,2021-09-29,2021-09-23,2021-09-14,2021-09-30,2021-09-25,2021-09-16,2021-09-26,2021-09-21,2021-09-13,0.33296,0.34891,0.37387,0.32611,0.41951
lacclair,DB,1000,falling,gcc_90,2020-09-24,2020-09-21,2020-09-16,2020-09-25,2020-09-22,2020-09-18,2020-09-22,2020-09-20,2020-09-15,0.31762,0.33586,0.36601,0.31187,0.4133
lacclair,DB,1000,falling,gcc_90,2019-10-04,2019-09-23,2019-09-12,2019-10-06,2019-09-25,2019-09-14,2019-09-30,2019-09-20,2019-09-10,0.32377,0.34064,0.3691,0.31479,0.42169
lacclair,DB,1000,falling,gcc_90,2018-10-04,2018-10-01,2018-09-25,2018-10-05,2018-10-02,2018-09-27,2018-10-02,2018-09-29,2018-09-24,0.33077,0.34534,0.37294,0.32247,0.41994
lacclair,DB,1000,falling,gcc_90,2017-10-05,2017-09-28,2017-09-10,2017-10-07,2017-10-01,2017-09-13,2017-10-03,2017-09-24,2017-09-07,0.32647,0.34261,0.36958,0.31694,0.42112
lacclair,DB,1000,falling,gcc_90,2016-10-02,2016-09-29,2016-09-19,2016-10-03,2016-09-30,2016-09-22,2016-09-30,2016-09-27,2016-09-17,0.32538,0.34071,0.36928,0.32072,0.41526
lacclair,DB,1000,falling,gcc_90,2015-10-09,2015-10-04,2015-09-25,2015-10-10,2015-10-06,2015-09-28,2015-10-07,2015-10-02,2015-09-23,0.32234,0.34016,0.36704,0.31508,0.41561
lacclair,DB,1000,falling,gcc_90,2014-09-29,2014-09-25,2014-09-19,2014-09-30,2014-09-26,2014-09-21,2014-09-27,2014-09-23,2014-09-17,0.323,0.33886,0.36762,0.31522,0.418
lacclair,DB,1000,falling,gcc_75,2023-09-30,2023-09-27,2023-09-22,2023-10-01,2023-09-28,2023-09-24,2023-09-28,2023-09-25,2023-09-21,0.32862,0.34253,0.36908,0.32142,0.41394
lacclair,DB,1000,falling,gcc_75,2022-09-30,2022-09-27,2022-09-18,2022-10-01,2022-09-28,2022-09-21,2022-09-28,2022-09-25,2022-09-15,0.3275,0.33952,0.36904,0.31886,0.41819
lacclair,DB,1000,falling,gcc_75,2021-09-29,2021-09-24,2021-09-14,2021-09-30,2021-09-25,2021-09-17,2021-09-27,2021-09-21,2021-09-13,0.3314,0.34497,0.3716,0.32431,0.41359
lacclair,DB,1000,falling,gcc_75,2020-09-24,2020-09-21,2020-09-16,2020-09-25,2020-09-22,2020-09-18,2020-09-22,2020-09-20,2020-09-15,0.31547,0.33347,0.36319,0.30985,0.40844
lacclair,DB,1000,falling,gcc_75,2019-10-04,2019-09-24,2019-09-12,2019-10-06,2019-09-26,2019-09-15,2019-10-01,2019-09-21,2019-09-11,0.32198,0.33701,0.36546,0.31269,0.4142
lacclair,DB,1000,falling,gcc_75,2018-10-04,2018-10-01,2018-09-24,2018-10-05,2018-10-02,2018-09-27,2018-10-02,2018-09-29,2018-09-23,0.32608,0.33982,0.36938,0.31839,0.41499
lacclair,DB,1000,falling,gcc_75,2017-10-05,2017-09-29,2017-09-11,2017-10-07,2017-10-01,2017-09-13,2017-10-03,2017-09-25,2017-09-08,0.32458,0.33937,0.36495,0.31593,0.41391
lacclair,DB,1000,falling,gcc_75,2016-10-03,2016-09-30,2016-09-22,2016-10-04,2016-10-01,2016-09-25,2016-10-01,2016-09-28,2016-09-20,0.31773,0.33338,0.3615,0.31229,0.4083
lacclair,DB,1000,falling,gcc_75,2015-10-09,2015-10-05,2015-09-24,2015-10-10,2015-10-06,2015-09-27,2015-10-07,2015-10-03,2015-09-22,0.32028,0.33507,0.36365,0.3135,0.41041
lacclair,DB,1000,falling,gcc_75,2014-09-29,2014-09-25,2014-09-19,2014-09-30,2014-09-26,2014-09-21,2014-09-27,2014-09-23,2014-09-18,0.3207,0.33634,0.36479,0.31392,0.41273
lacclair,DB,1000,falling,gcc_50,2023-09-30,2023-09-27,2023-09-22,2023-10-01,2023-09-28,2023-09-24,2023-09-28,2023-09-25,2023-09-21,0.32359,0.33752,0.36465,0.31648,0.40947
lacclair,DB,1000,falling,gcc_50,2022-09-30,2022-09-27,2022-09-19,2022-10-01,2022-09-28,2022-09-22,2022-09-28,2022-09-25,2022-09-17,0.32389,0.33598,0.36443,0.3152,0.41099
lacclair,DB,1000,falling,gcc_50,2021-09-29,2021-09-24,2021-09-15,2021-09-30,2021-09-26,2021-09-17,2021-09-27,2021-09-22,2021-09-13,0.32848,0.34316,0.36573,0.3223,0.40753
lacclair,DB,1000,falling,gcc_50,2020-09-23,2020-09-21,2020-09-16,2020-09-24,2020-09-22,2020-09-18,2020-09-22,2020-09-19,2020-09-15,0.31451,0.32704,0.35664,0.30562,0.40468
lacclair,DB,1000,falling,gcc_50,2019-09-26,2019-09-20,2019-09-09,2019-09-29,2019-09-21,2019-09-12,2019-09-23,2019-09-17,2019-09-07,0.33197,0.34313,0.3677,0.32422,0.40839
lacclair,DB,1000,falling,gcc_50,2018-10-04,2018-10-01,2018-09-25,2018-10-05,2018-10-02,2018-09-27,2018-10-02,2018-09-29,2018-09-24,0.321,0.33482,0.36185,0.31325,0.40525
lacclair,DB,1000,falling,gcc_50,2017-09-23,2017-09-15,2017-09-03,2017-09-28,2017-09-17,2017-09-07,2017-09-18,2017-09-12,2017-08-29,0.34361,0.35342,0.37297,0.33639,0.40905
lacclair,DB,1000,falling,gcc_50,2016-10-03,2016-09-30,2016-09-22,2016-10-04,2016-10-01,2016-09-25,2016-10-01,2016-09-28,2016-09-20,0.31407,0.33,0.35807,0.30856,0.40387
lacclair,DB,1000,falling,gcc_50,2015-10-08,2015-10-04,2015-09-25,2015-10-09,2015-10-06,2015-09-28,2015-10-06,2015-10-02,2015-09-22,0.32094,0.33659,0.35899,0.31472,0.40288
lacclair,DB,1000,falling,gcc_50,2014-09-28,2014-09-25,2014-09-19,2014-09-29,2014-09-26,2014-09-21,2014-09-26,2014-09-23,2014-09-17,0.31935,0.33071,0.35947,0.31181,0.40611
lacclair,DB,1000,falling,gcc_mean,2023-09-30,2023-09-27,2023-09-22,2023-10-01,2023-09-28,2023-09-24,2023-09-28,2023-09-26,2023-09-21,0.32383,0.3376,0.36436,0.31678,0.40693
lacclair,DB,1000,falling,gcc_mean,2022-09-30,2022-09-27,2022-09-19,2022-10-01,2022-09-28,2022-09-22,2022-09-28,2022-09-25,2022-09-18,0.3241,0.3362,0.36453,0.3154,0.40972
lacclair,DB,1000,falling,gcc_mean,2021-09-29,2021-09-24,2021-09-15,2021-09-30,2021-09-26,2021-09-17,2021-09-27,2021-09-22,2021-09-13,0.32874,0.34335,0.36527,0.32259,0.40756
lacclair,DB,1000,falling,gcc_mean,2020-09-23,2020-09-21,2020-09-16,2020-09-24,2020-09-22,2020-09-18,2020-09-22,2020-09-20,2020-09-15,0.31418,0.32699,0.35712,0.30508,0.40423
lacclair,DB,1000,falling,gcc_mean,2019-09-26,2019-09-19,2019-09-09,2019-09-28,2019-09-21,2019-09-12,2019-09-23,2019-09-17,2019-09-07,0.33203,0.34489,0.36726,0.32453,0.4069
lacclair,DB,1000,falling,gcc_mean,2018-10-04,2018-10-01,2018-09-25,2018-10-05,2018-10-02,2018-09-27,2018-10-02,2018-09-29,2018-09-24,0.32137,0.33508,0.36224,0.31374,0.40617
lacclair,DB,1000,falling,gcc_mean,2017-09-24,2017-09-15,2017-09-03,2017-09-28,2017-09-17,2017-09-07,2017-09-18,2017-09-12,2017-08-29,0.34358,0.35315,0.37255,0.33639,0.4087
lacclair,DB,1000,falling,gcc_mean,2016-10-02,2016-09-29,2016-09-20,2016-10-03,2016-09-30,2016-09-23,2016-09-30,2016-09-27,2016-09-18,0.31838,0.33457,0.36058,0.31344,0.40444
lacclair,DB,1000,falling,gcc_mean,2015-10-08,2015-10-04,2015-09-25,2015-10-09,2015-10-05,2015-09-27,2015-10-06,2015-10-02,2015-09-22,0.32063,0.33564,0.35892,0.31488,0.40248
lacclair,DB,1000,falling,gcc_mean,2014-09-28,2014-09-25,2014-09-19,2014-09-29,2014-09-26,2014-09-21,2014-09-26,2014-09-23,2014-09-18,0.3192,0.33075,0.35983,0.31192,0.40544
